가,ㄱㅏᴥ
교시,ㄱㅛᴥㅅㅣᴥ
교외,ㄱㅛᴥㅇㅚᴥ
교재,ㄱㅛᴥㅈㅐᴥ
교환,ㄱㅛᴥㅎㅘㄴᴥ
구,ㄱㅜᴥ
구경,ㄱㅜᴥㄱㅕㅇᴥ
구문,ㄱㅜᴥㅁㅜㄴᴥ
구별,ㄱㅜᴥㅂㅕㄹᴥ
구분,ㄱㅜᴥㅂㅜㄴᴥ
구성,ㄱㅜᴥㅅㅓㅇᴥ
구성원,ㄱㅜᴥㅅㅓㅇᴥㅇㅝㄴᴥ
구조,ㄱㅜᴥㅈㅗᴥ
구체적으로,ㄱㅜᴥㅊㅔᴥㅈㅓㄱᴥㅇㅡᴥㄹㅗᴥ
구축,ㄱㅜᴥㅊㅜㄱᴥ
구토하다,ㄱㅜᴥㅌㅗᴥㅎㅏᴥㄷㅏᴥ
구현,ㄱㅜᴥㅎㅕㄴᴥ
국,ㄱㅜㄱᴥ
국가,ㄱㅜㄱᴥㄱㅏᴥ
국내,ㄱㅜㄱᴥㄴㅐᴥ
군인,ㄱㅜㄴᴥㅇㅣㄴᴥ
궁극,ㄱㅜㅇᴥㄱㅡㄱᴥ
궤,ㄱㅞᴥ
규,ㄱㅠᴥ
규칙,ㄱㅠᴥㅊㅣㄱᴥ
균형,ㄱㅠㄴᴥㅎㅕㅇᴥ
그,ㄱㅡᴥ
그간,ㄱㅡᴥㄱㅏㄴᴥ
그것,ㄱㅡᴥㄱㅓㅅᴥ
그날,ㄱㅡᴥㄴㅏㄹᴥ
그들,ㄱㅡᴥㄷㅡㄹᴥ
그때,ㄱㅡᴥㄸㅐᴥ
그때그때,ㄱㅡᴥㄸㅐᴥㄱㅡᴥㄸㅐᴥ
그래,ㄱㅡᴥㄹㅐᴥ
그래도,ㄱㅡᴥㄹㅐᴥㄷㅗᴥ
그래서,ㄱㅡᴥㄹㅐᴥㅅㅓᴥ
그래프,ㄱㅡᴥㄹㅐᴥㅍㅡᴥ
그러나,ㄱㅡᴥㄹㅓᴥㄴㅏᴥ
그러니,ㄱㅡᴥㄹㅓᴥㄴㅣᴥ
그러니까,ㄱㅡᴥㄹㅓᴥㄴㅣᴥㄲㅏᴥ
그러면,ㄱㅡᴥㄹㅓᴥㅁㅕㄴᴥ
그러므로,ㄱㅡᴥㄹㅓᴥㅁㅡᴥㄹㅗᴥ
그러하나,ㄱㅡᴥㄹㅓᴥㅎㅏᴥㄴㅏᴥ
그러한즉,ㄱㅡᴥㄹㅓᴥㅎㅏㄴᴥㅈㅡㄱᴥ
그런,ㄱㅡᴥㄹㅓㄴᴥ
그런데,ㄱㅡᴥㄹㅓㄴᴥㄷㅔᴥ
그런즉,ㄱㅡᴥㄹㅓㄴᴥㅈㅡㄱᴥ
그럼,ㄱㅡᴥㄹㅓㅁᴥ
그럼에도,ㄱㅡᴥㄹㅓㅁᴥㅇㅔᴥㄷㅗᴥ
그렇게,ㄱㅡᴥㄹㅓㅎᴥㄱㅔᴥ
그렇지,ㄱㅡᴥㄹㅓㅎᴥㅈㅣᴥ
그렇지만,ㄱㅡᴥㄹㅓㅎᴥㅈㅣᴥㅁㅏㄴᴥ
그렇지않으면,ㄱㅡᴥㄹㅓㅎᴥㅈㅣᴥㅇㅏㄶᴥㅇㅡᴥㅁㅕㄴᴥ
그룹,ㄱㅡᴥㄹㅜㅂᴥ
그리,ㄱㅡᴥㄹㅣᴥ
그리고,ㄱㅡᴥㄹㅣᴥㄱㅗᴥ
그리하여,ㄱㅡᴥㄹㅣᴥㅎㅏᴥㅇㅕᴥ
그림,ㄱㅡᴥㄹㅣㅁᴥ
그에 따르는,ㄱㅡᴥㅇㅔᴥ ㄸㅏᴥㄹㅡᴥㄴㅡㄴᴥ
그저,ㄱㅡᴥㅈㅓᴥ
그중에서,ㄱㅡᴥㅈㅜㅇᴥㅇㅔᴥㅅㅓᴥ
극,ㄱㅡㄱᴥ
극복,ㄱㅡㄱᴥㅂㅗㄱᴥ
근거하여,ㄱㅡㄴᴥㄱㅓᴥㅎㅏᴥㅇㅕᴥ
근데,ㄱㅡㄴᴥㄷㅔᴥ
근접,ㄱㅡㄴᴥㅈㅓㅂᴥ
글,ㄱㅡㄹᴥ
금지,ㄱㅡㅁᴥㅈㅣᴥ
긍정,ㄱㅡㅇᴥㅈㅓㅇᴥ
기,ㄱㅣᴥ
기계,ㄱㅣᴥㄱㅖᴥ
기관,ㄱㅣᴥㄱㅘㄴᴥ
기능,ㄱㅣᴥㄴㅡㅇᴥ
기대,ㄱㅣᴥㄷㅐᴥ
기대여,ㄱㅣᴥㄷㅐᴥㅇㅕᴥ
기반,ㄱㅣᴥㅂㅏㄴᴥ
기법,ㄱㅣᴥㅂㅓㅂᴥ
기본,ㄱㅣᴥㅂㅗㄴᴥ
기술,ㄱㅣᴥㅅㅜㄹᴥ
기억,ㄱㅣᴥㅇㅓㄱᴥ
기업,ㄱㅣᴥㅇㅓㅂᴥ
기여,ㄱㅣᴥㅇㅕᴥ
기울기,ㄱㅣᴥㅇㅜㄹᴥㄱㅣᴥ
기원,ㄱㅣᴥㅇㅝㄴᴥ
기입,ㄱㅣᴥㅇㅣㅂᴥ
기점,ㄱㅣᴥㅈㅓㅁᴥ
기점으로,ㄱㅣᴥㅈㅓㅁᴥㅇㅡᴥㄹㅗᴥ
기존,ㄱㅣᴥㅈㅗㄴᴥ
기준,ㄱㅣᴥㅈㅜㄴᴥ
기준으로,ㄱㅣᴥㅈㅜㄴᴥㅇㅡᴥㄹㅗᴥ
기차,ㄱㅣᴥㅊㅏᴥ
기초,ㄱㅣᴥㅊㅗᴥ
기타,ㄱㅣᴥㅌㅏᴥ
기호,ㄱㅣᴥㅎㅗᴥ
기회,ㄱㅣᴥㅎㅚᴥ
길,ㄱㅣㄹᴥ
길이,ㄱㅣㄹᴥㅇㅣᴥ
김,ㄱㅣㅁᴥ
까닭,ㄲㅏᴥㄷㅏㄺᴥ
까닭에,ㄲㅏᴥㄷㅏㄺᴥㅇㅔᴥ
까악,ㄲㅏᴥㅇㅏㄱᴥ
까지,ㄲㅏᴥㅈㅣᴥ
까지도,ㄲㅏᴥㅈㅣᴥㄷㅗᴥ
꼬리말,ㄲㅗᴥㄹㅣᴥㅁㅏㄹᴥ
꽈당,ㄲㅘᴥㄷㅏㅇᴥ
끙끙,ㄲㅡㅇᴥㄲㅡㅇᴥ
끝,ㄲㅡㅌᴥ
나,ㄴㅏᴥ
나누기,ㄴㅏᴥㄴㅜᴥㄱㅣᴥ
나는,ㄴㅏᴥㄴㅡㄴᴥ
나라,ㄴㅏᴥㄹㅏᴥ
나를,ㄴㅏᴥㄹㅡㄹᴥ
나머지,ㄴㅏᴥㅁㅓᴥㅈㅣᴥ
나머지는,ㄴㅏᴥㅁㅓᴥㅈㅣᴥㄴㅡㄴᴥ
나열,ㄴㅏᴥㅇㅕㄹᴥ
나오,ㄴㅏᴥㅇㅗᴥ
나이,ㄴㅏᴥㅇㅣᴥ
나중,ㄴㅏᴥㅈㅜㅇᴥ
나흘,ㄴㅏᴥㅎㅡㄹᴥ
날,ㄴㅏㄹᴥ
날짜,ㄴㅏㄹᴥㅉㅏᴥ
남,ㄴㅏㅁᴥ
남극,ㄴㅏㅁᴥㄱㅡㄱᴥ
남들,ㄴㅏㅁᴥㄷㅡㄹᴥ
남매,ㄴㅏㅁᴥㅁㅐᴥ
남북,ㄴㅏㅁᴥㅂㅜㄱᴥ
남음,ㄴㅏㅁᴥㅇㅡㅁᴥ
남자,ㄴㅏㅁᴥㅈㅏᴥ
남짓,ㄴㅏㅁᴥㅈㅣㅅᴥ
남편,ㄴㅏㅁᴥㅍㅕㄴᴥ
낫다,ㄴㅏㅅᴥㄷㅏᴥ
낭,ㄴㅏㅇᴥ
내,ㄴㅐᴥ
내가,ㄴㅐᴥㄱㅏᴥ
내국,ㄴㅐᴥㄱㅜㄱᴥ
내부,ㄴㅐᴥㅂㅜᴥ
내용,ㄴㅐᴥㅇㅛㅇᴥ
냇가,ㄴㅐㅅᴥㄱㅏᴥ
냇물,ㄴㅐㅅᴥㅁㅜㄹᴥ
너,ㄴㅓᴥ
너가,ㄴㅓᴥㄱㅏᴥ
너는,ㄴㅓᴥㄴㅡㄴᴥ
너를,ㄴㅓᴥㄹㅡㄹᴥ
너무,ㄴㅓᴥㅁㅜᴥ
너비,ㄴㅓᴥㅂㅣᴥ
너희,ㄴㅓᴥㅎㅢᴥ
너희들,ㄴㅓᴥㅎㅢᴥㄷㅡㄹᴥ
네,ㄴㅔᴥ
네모,ㄴㅔᴥㅁㅗᴥ
넷,ㄴㅔㅅᴥ
년,ㄴㅕㄴᴥ
년도,ㄴㅕㄴᴥㄷㅗᴥ
노력,ㄴㅗᴥㄹㅕㄱᴥ
논리,ㄴㅗㄴᴥㄹㅣᴥ
논의,ㄴㅗㄴᴥㅇㅢᴥ
논하지,ㄴㅗㄴᴥㅎㅏᴥㅈㅣᴥ
농촌,ㄴㅗㅇᴥㅊㅗㄴᴥ
놓,ㄴㅗㅎᴥ
누가,ㄴㅜᴥㄱㅏᴥ
누구,ㄴㅜᴥㄱㅜᴥ
누나,ㄴㅜᴥㄴㅏᴥ
누님,ㄴㅜᴥㄴㅣㅁᴥ
느,ㄴㅡᴥ
는,ㄴㅡㄴᴥ
능,ㄴㅡㅇᴥ
능력,ㄴㅡㅇᴥㄹㅕㄱᴥ
니즘,ㄴㅣᴥㅈㅡㅁᴥ
님,ㄴㅣㅁᴥ
다,ㄷㅏᴥ
다각화,ㄷㅏᴥㄱㅏㄱᴥㅎㅘᴥ
다른,ㄷㅏᴥㄹㅡㄴᴥ
다른 방면으로,ㄷㅏᴥㄹㅡㄴᴥ ㅂㅏㅇᴥㅁㅕㄴᴥㅇㅡᴥㄹㅗᴥ
다리,ㄷㅏᴥㄹㅣᴥ
다만,ㄷㅏᴥㅁㅏㄴᴥ
다섯,ㄷㅏᴥㅅㅓㅅᴥ
다소,ㄷㅏᴥㅅㅗᴥ
다수,ㄷㅏᴥㅅㅜᴥ
다시,ㄷㅏᴥㅅㅣᴥ
다양,ㄷㅏᴥㅇㅑㅇᴥ
다운,ㄷㅏᴥㅇㅜㄴᴥ
다운로드,ㄷㅏᴥㅇㅜㄴᴥㄹㅗᴥㄷㅡᴥ
다음,ㄷㅏᴥㅇㅡㅁᴥ
다음에,ㄷㅏᴥㅇㅡㅁᴥㅇㅔᴥ
다중,ㄷㅏᴥㅈㅜㅇᴥ
단,ㄷㅏㄴᴥ
단계,ㄷㅏㄴᴥㄱㅖᴥ
단기,ㄷㅏㄴᴥㄱㅣᴥ
단순,ㄷㅏㄴᴥㅅㅜㄴᴥ
단어,ㄷㅏㄴᴥㅇㅓᴥ
단위,ㄷㅏㄴᴥㅇㅟᴥ
단일,ㄷㅏㄴᴥㅇㅣㄹᴥ
단점,ㄷㅏㄴᴥㅈㅓㅁᴥ
단지,ㄷㅏㄴᴥㅈㅣᴥ
단체,ㄷㅏㄴᴥㅊㅔᴥ
닫기,ㄷㅏㄷᴥㄱㅣᴥ
달,ㄷㅏㄹᴥ
달성,ㄷㅏㄹᴥㅅㅓㅇᴥ
담당,ㄷㅏㅁᴥㄷㅏㅇᴥ
답,ㄷㅏㅂᴥ
답다,ㄷㅏㅂᴥㄷㅏᴥ
당대,ㄷㅏㅇᴥㄷㅐᴥ
당신,ㄷㅏㅇᴥㅅㅣㄴᴥ
당신을,ㄷㅏㅇᴥㅅㅣㄴᴥㅇㅡㄹᴥ
당장,ㄷㅏㅇᴥㅈㅏㅇᴥ
대,ㄷㅐᴥ
대결,ㄷㅐᴥㄱㅕㄹᴥ
대량,ㄷㅐᴥㄹㅑㅇᴥ
대부분,ㄷㅐᴥㅂㅜᴥㅂㅜㄴᴥ
대비,ㄷㅐᴥㅂㅣᴥ
대상,ㄷㅐᴥㅅㅏㅇᴥ
대상자,ㄷㅐᴥㅅㅏㅇᴥㅈㅏᴥ
대신,ㄷㅐᴥㅅㅣㄴᴥ
대안,ㄷㅐᴥㅇㅏㄴᴥ
대입,ㄷㅐᴥㅇㅣㅂᴥ
대지,ㄷㅐᴥㅈㅣᴥ
대체,ㄷㅐᴥㅊㅔᴥ
대표,ㄷㅐᴥㅍㅛᴥ
대하,ㄷㅐᴥㅎㅏᴥ
대하면,ㄷㅐᴥㅎㅏᴥㅁㅕㄴᴥ
대하여,ㄷㅐᴥㅎㅏᴥㅇㅕᴥ
대학,ㄷㅐᴥㅎㅏㄱᴥ
대학교,ㄷㅐᴥㅎㅏㄱᴥㄱㅛᴥ
대학생,ㄷㅐᴥㅎㅏㄱᴥㅅㅐㅇᴥ
대해,ㄷㅐᴥㅎㅐᴥ
대해서,ㄷㅐᴥㅎㅐᴥㅅㅓᴥ
대화,ㄷㅐᴥㅎㅘᴥ
대회,ㄷㅐᴥㅎㅚᴥ
댕그,ㄷㅐㅇᴥㄱㅡᴥ
더,ㄷㅓᴥ
더구나,ㄷㅓᴥㄱㅜᴥㄴㅏᴥ
더군다나,ㄷㅓᴥㄱㅜㄴᴥㄷㅏᴥㄴㅏᴥ
더라도,ㄷㅓᴥㄹㅏᴥㄷㅗᴥ
더불어,ㄷㅓᴥㅂㅜㄹᴥㅇㅓᴥ
더욱더,ㄷㅓᴥㅇㅜㄱᴥㄷㅓᴥ
더욱이는,ㄷㅓᴥㅇㅜㄱᴥㅇㅣᴥㄴㅡㄴᴥ
더하기,ㄷㅓᴥㅎㅏᴥㄱㅣᴥ
도,ㄷㅗᴥ
도구,ㄷㅗᴥㄱㅜᴥ
도달,ㄷㅗᴥㄷㅏㄹᴥ
도로,ㄷㅗᴥㄹㅗᴥ
도모,ㄷㅗᴥㅁㅗᴥ
도시,ㄷㅗᴥㅅㅣᴥ
도심,ㄷㅗᴥㅅㅣㅁᴥ
도움,ㄷㅗᴥㅇㅜㅁᴥ
도입,ㄷㅗᴥㅇㅣㅂᴥ
도전,ㄷㅗᴥㅈㅓㄴᴥ
도형,ㄷㅗᴥㅎㅕㅇᴥ
독자,ㄷㅗㄱᴥㅈㅏᴥ
돈,ㄷㅗㄴᴥ
동,ㄷㅗㅇᴥ
동그라미,ㄷㅗㅇᴥㄱㅡᴥㄹㅏᴥㅁㅣᴥ
동기,ㄷㅗㅇᴥㄱㅣᴥ
동등,ㄷㅗㅇᴥㄷㅡㅇᴥ
동반자,ㄷㅗㅇᴥㅂㅏㄴᴥㅈㅏᴥ
동생,ㄷㅗㅇᴥㅅㅐㅇᴥ
동서,ㄷㅗㅇᴥㅅㅓᴥ
동시,ㄷㅗㅇᴥㅅㅣᴥ
동시에,ㄷㅗㅇᴥㅅㅣᴥㅇㅔᴥ
동안,ㄷㅗㅇᴥㅇㅏㄴᴥ
동의,ㄷㅗㅇᴥㅇㅢᴥ
동일,ㄷㅗㅇᴥㅇㅣㄹᴥ
동일시,ㄷㅗㅇᴥㅇㅣㄹᴥㅅㅣᴥ
동참,ㄷㅗㅇᴥㅊㅏㅁᴥ
돼요,ㄷㅙᴥㅇㅛᴥ
됐,ㄷㅙㅆᴥ
되,ㄷㅚᴥ
되어,ㄷㅚᴥㅇㅓᴥ
되어요,ㄷㅚᴥㅇㅓᴥㅇㅛᴥ
된,ㄷㅚㄴᴥ
된바에야,ㄷㅚㄴᴥㅂㅏᴥㅇㅔᴥㅇㅑᴥ
두,ㄷㅜᴥ
두번째로,ㄷㅜᴥㅂㅓㄴᴥㅉㅐᴥㄹㅗᴥ
둘,ㄷㅜㄹᴥ
뒤,ㄷㅟᴥ
뒤따라,ㄷㅟᴥㄸㅏᴥㄹㅏᴥ
뒤이어,ㄷㅟᴥㅇㅣᴥㅇㅓᴥ
뒷받침,ㄷㅟㅅᴥㅂㅏㄷᴥㅊㅣㅁᴥ
드,ㄷㅡᴥ
든간에,ㄷㅡㄴᴥㄱㅏㄴᴥㅇㅔᴥ
들,ㄷㅡㄹᴥ
듬,ㄷㅡㅁᴥ
등,ㄷㅡㅇᴥ
등등,ㄷㅡㅇᴥㄷㅡㅇᴥ
등분,ㄷㅡㅇᴥㅂㅜㄴᴥ
등장,ㄷㅡㅇᴥㅈㅏㅇᴥ
디,ㄷㅣᴥ
딩동,ㄷㅣㅇᴥㄷㅗㅇᴥ
따라,ㄸㅏᴥㄹㅏᴥ
따라서,ㄸㅏᴥㄹㅏᴥㅅㅓᴥ
따위,ㄸㅏᴥㅇㅟᴥ
따지지,ㄸㅏᴥㅈㅣᴥㅈㅣᴥ
딱,ㄸㅏㄱᴥ
땅,ㄸㅏㅇᴥ
때,ㄸㅐᴥ
때가 되어,ㄸㅐᴥㄱㅏᴥ ㄷㅚᴥㅇㅓᴥ
때문,ㄸㅐᴥㅁㅜㄴᴥ
때문에,ㄸㅐᴥㅁㅜㄴᴥㅇㅔᴥ
또,ㄸㅗᴥ
또는,ㄸㅗᴥㄴㅡㄴᴥ
또한,ㄸㅗᴥㅎㅏㄴᴥ
뚝뚝,ㄸㅜㄱᴥㄸㅜㄱᴥ
뜻,ㄸㅡㅅᴥ
라,ㄹㅏᴥ
라인,ㄹㅏᴥㅇㅣㄴᴥ
란,ㄹㅏㄴᴥ
람,ㄹㅏㅁᴥ
래스,ㄹㅐᴥㅅㅡᴥ
량,ㄹㅑㅇᴥ
럼,ㄹㅓㅁᴥ
레포트,ㄹㅔᴥㅍㅗᴥㅌㅡᴥ
련서,ㄹㅕㄴᴥㅅㅓᴥ
로,ㄹㅗᴥ
로부터,ㄹㅗᴥㅂㅜᴥㅌㅓᴥ
로써,ㄹㅗᴥㅆㅓᴥ
료,ㄹㅛᴥ
류,ㄹㅠᴥ
르,ㄹㅡᴥ
를,ㄹㅡㄹᴥ
린,ㄹㅣㄴᴥ
릴,ㄹㅣㄹᴥ
마,ㅁㅏᴥ
마무리,ㅁㅏᴥㅁㅜᴥㄹㅣᴥ
마음,ㅁㅏᴥㅇㅡㅁᴥ
마음대로,ㅁㅏᴥㅇㅡㅁᴥㄷㅐᴥㄹㅗᴥ
마저,ㅁㅏᴥㅈㅓᴥ
마저도,ㅁㅏᴥㅈㅓᴥㄷㅗᴥ
마지막,ㅁㅏᴥㅈㅣᴥㅁㅏㄱᴥ
마찬가지,ㅁㅏᴥㅊㅏㄴᴥㄱㅏᴥㅈㅣᴥ
막내,ㅁㅏㄱᴥㄴㅐᴥ
막냇동생,ㅁㅏㄱᴥㄴㅐㅅᴥㄷㅗㅇᴥㅅㅐㅇᴥ
막론,ㅁㅏㄱᴥㄹㅗㄴᴥ
막론하고,ㅁㅏㄱᴥㄹㅗㄴᴥㅎㅏᴥㄱㅗᴥ
만,ㅁㅏㄴᴥ
만들,ㅁㅏㄴᴥㄷㅡㄹᴥ
만약,ㅁㅏㄴᴥㅇㅑㄱᴥ
만약에,ㅁㅏㄴᴥㅇㅑㄱᴥㅇㅔᴥ
만일,ㅁㅏㄴᴥㅇㅣㄹᴥ
만족,ㅁㅏㄴᴥㅈㅗㄱᴥ
만큼,ㅁㅏㄴᴥㅋㅡㅁᴥ
많,ㅁㅏㄶᴥ
맏이,ㅁㅏㄷᴥㅇㅣᴥ
말,ㅁㅏㄹᴥ
말하면,ㅁㅏㄹᴥㅎㅏᴥㅁㅕㄴᴥ
말하자면,ㅁㅏㄹᴥㅎㅏᴥㅈㅏᴥㅁㅕㄴᴥ
말할것도,ㅁㅏㄹᴥㅎㅏㄹᴥㄱㅓㅅᴥㄷㅗᴥ
매,ㅁㅐᴥ
매년,ㅁㅐᴥㄴㅕㄴᴥ
매력,ㅁㅐᴥㄹㅕㄱᴥ
매번,ㅁㅐᴥㅂㅓㄴᴥ
매분,ㅁㅐᴥㅂㅜㄴᴥ
매시간,ㅁㅐᴥㅅㅣᴥㄱㅏㄴᴥ
매우,ㅁㅐᴥㅇㅜᴥ
매일,ㅁㅐᴥㅇㅣㄹᴥ
매일매일,ㅁㅐᴥㅇㅣㄹᴥㅁㅐᴥㅇㅣㄹᴥ
매장,ㅁㅐᴥㅈㅏㅇᴥ
매형,ㅁㅐᴥㅎㅕㅇᴥ
맥락,ㅁㅐㄱᴥㄹㅏㄱᴥ
머리말,ㅁㅓᴥㄹㅣᴥㅁㅏㄹᴥ
